,0,1
18,2020-03-30 14:55:02+00:00,"""To help countries manage the surge in #COVID19 cases while maintaining essential services, WHO has also published a detailed, practical manual on how to set up and manage treatment centres for COVID-19""-@DrTedros #coronavirus"
19,2020-03-30 14:54:38+00:00,"""That incl. ensuring an adequate to deal with the many health needs other than #COVID19. We’re pleased by the 20K #healthworkers in who have offered to return to work &amp; that other countries such as are involving medical students &amp; trainees in the response""-@DrTedros"
20,2020-03-30 14:54:10+00:00,"""This includes a set of targeted, immediate actions to reorganize & maintain access to high-quality essential health services: -routine vaccination -care during &amp; childbirth -treatment for infectious &amp; noncommunicable diseases &amp; mental health conditions - services""-@DrTedros"
21,2020-03-30 14:53:45+00:00,"""WHO has published guidelines to help countries balance the demands of responding directly to #COVID19, while maintaining essential health services""-@DrTedros https://bit.ly/3aq6CRg #coronavirus"
22,2020-03-30 14:53:32+00:00,"""Even though we're in the midst of a crisis, essential health services must continue. Babies are still being born, vaccines must still be delivered, and people still need life-saving treatment for a range of other diseases""-@DrTedros #COVID19 #coronavirus"
23,2020-03-30 14:53:12+00:00,"""Previous outbreaks have demonstrated that when health systems are overwhelmed, deaths due to vaccine-preventable and treatable conditions increase dramatically""-@DrTedros #COVID19 #coronavirus"
24,2020-03-30 14:52:56+00:00,"""The #COVID19 pandemic is straining health systems in many countries. The rapidly increasing demand on health facilities and #healthworkers threatens to leave some health systems overstretched and unable to operate effectively""-@DrTedros #coronavirus"
25,2020-03-30 14:47:25+00:00,Media briefing on #COVID19 with @DrTedros. #coronavirus
26,2020-03-30 14:44:50+00:00,Media briefing on #COVID19 with @DrTedros. #coronavirus
27,2020-03-30 09:08:32+00:00,Our free #OpenWHO online courses on #coronavirus are hosted on 2 learning channels: -A channel with #COVID19 courses in the 6 @UN languages http://bit.ly/331dTEs -A channel with courses in languages from across the globe https://bit.ly/2QUugha New languages added weekly!
28,2020-03-29 18:16:32+00:00,FACT: Drinking alcohol DOES NOT protect you against #COVID19 and can be dangerous. Frequent or excessive alcohol consumption can increase your risk of health problems. http://bit.ly/COVID19Mythbusters #coronavirus #KnowTheFacts
29,2020-03-29 17:24:14+00:00,FACT: Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the #coronavirus disease or any other lung disease. http://bit.ly/COVID19Mythbusters #COVID19 #KnowTheFacts
30,2020-03-29 13:41:44+00:00,"Watch this short animation to learn more about #COVID19, how it spreads and how to protect yourself against it. #coronavirus"
31,2020-03-29 13:13:57+00:00,"New free #OpenWHO online course: Learn how to set up &amp; operate severe acute respiratory infection treatment centres, including for #COVID19: - Designing a screening area &amp; treatment centre - Repurposing an existing building Enroll today: https://bit.ly/3bAlXiw #coronavirus"
32,2020-03-28 18:44:17+00:00,"FACT: #COVID19 is NOT airborne. The #coronavirus is mainly transmitted through droplets generated when an infected person coughs, sneezes or speaks. To protect yourself: -keep 1m distance from others -disinfect surfaces frequently -wash/rub your -avoid touching your "
33,2020-03-28 18:14:45+00:00,"To assist @UN country teams in scaling up country preparedness &amp; response to #COVID19, #OpenWHO has developed a free online course: https://bit.ly/3aqkyef Join today &amp; learn about the Operational Planning Guidelines to Support Country Preparedness &amp; Response #coronavirus"
34,2020-03-28 16:12:50+00:00,"Clinicians: join the free #OpenWHO online course on clinical management of patients with a severe acute respiratory infection, incl. #COVID19 - covering many crucial areas: • Symptoms • Triage • Diagnostics • Ventilation • &amp; much more https://bit.ly/2wIUFaN #coronavirus"
35,2020-03-28 14:09:33+00:00,#Healthworkers &amp; public health professionals: Join the free online course on ‘Infection Prevention and Control for #coronavirus’. Learn how to: • Prepare • Identify #COVID19 cases • Prevent further transmission https://bit.ly/3atGfK8
36,2020-03-28 12:00:18+00:00,"Thank you to everyone working so hard to #StaySafe. It's a tough time, but together we'll pull through. #COVID19"
37,2020-03-28 09:57:11+00:00,Join our free online course on protection against Acute Respiratory Infections like #COVID19. Learn how they are transmitted &amp; how to protect yourself. Enroll today – it’s free for all: https://bit.ly/3dyBwJb #coronavirus
38,2020-03-28 08:24:40+00:00,"Prepare for #COVID19: take the free multilingual online introduction course to #coronavirus. Learn about emerging respiratory viruses, how to detect them &amp; how to communicate risk. Enroll today – it’s free for all: http://bit.ly/2SbOlAn"
39,2020-03-27 17:19:41+00:00,The full briefing on #COVID19 by @DrTedros 
40,2020-03-27 16:28:14+00:00,"""I’d like to end with something Singapore’s Minister of Health, @GANKIMYONG, said during today’s briefing. We are only at the beginning of this fight. We need to stay calm, stay united and work together""-@DrTedros #COVID19 #coronavirus"
41,2020-03-27 16:27:34+00:00,"""Thank you for your efforts to work with us to protect the health systems, #healthworkers and members of the general public who rely on our information systems and digital tools""-@DrTedros #COVID19 #coronaviru"
42,2020-03-27 16:26:55+00:00,"""I am very grateful to those working in various national organizations providing critical cybersecurity intelligence to the WHO Cybersecurity team""-@DrTedros #COVID19 #coronavirus"
43,2020-03-27 16:26:30+00:00,"""I’ve said before that crises like this bring out the best & worst in humanity. We have recently seen an increase in scams, cyberattacks & impersonation using WHO, my name & #COVID19""-@DrTedros #coronavirus"
44,2020-03-27 16:25:43+00:00,"""The English version of our @WhatsApp Health Alert now has more than 12 million users, and the Arabic, French and Spanish versions were launched today. More languages will be added, incl Bangla, Chinese, Hindi, Kurdish, Portuguese, Russian, Somali, Urdu &amp; more""-@DrTedros #COVID19"
45,2020-03-27 16:25:07+00:00,"""We’re also delighted to report that the #COVID19 Solidarity Fund has now received donations of more than USD 108M, from 203,000 individuals &amp; organizations. Thank you to each and every one of you""-@DrTedros #coronavirus"
46,2020-03-27 16:24:13+00:00,"""More than 1 million health workers have been trained through our courses on http://OpenWHO.org. We will continue to train more""-@DrTedros #COVID19 #coronavirus"
47,2020-03-27 16:23:44+00:00,"""WHO is continuing to support all countries in the response. We’ve published more than 40 guidance documents on our website, providing detailed, evidence-based recommendations for governments, hospitals, health workers, members of the public & more""-@DrTedros"
48,2020-03-27 16:23:19+00:00,"""As the #COVID19 pandemic evolves &amp; more countries are affected, we are learning more about what works &amp; what doesn't""-@DrTedros #coronavirus"
49,2020-03-27 16:22:59+00:00,"""During the most recent #Ebola epidemic, for example, some medicines that were thought to be effective were found not to be as effective as other medicines when they were compared during a clinical trial. We must follow the evidence. There are no shortcuts""-@DrTedros #COVID19"
50,2020-03-27 16:22:35+00:00,"""The history of medicine is strewn with examples of drugs that worked on paper, or in a test tube, but didn't work in humans or were actually harmful""-@DrTedros #COVID19 #coronavirus"
51,2020-03-27 16:22:21+00:00,"""In the meantime, we call on individuals & countries to refrain from using therapeutics that have not been demonstrated to be effective in the treatment of #COVID19""-@DrTedros #coronavirus"
52,2020-03-27 16:22:04+00:00,"""This is a historic trial which will dramatically cut the time needed to generate robust evidence about what work. Over 45 countries are contributing to the trial &amp; more have expressed interest. The more countries who join the trial, the faster we will have results""-@DrTedros"
53,2020-03-27 16:21:37+00:00,"""Today we are delighted to announce that today in &amp; , the first patients will shortly be enrolled in the Solidarity Trial, which will compare the safety &amp; effectiveness of four different drugs or drug combinations against #COVID19""-@DrTedros #coronavirus"
54,2020-03-27 16:21:16+00:00,"""A vaccine is still at least 18 months away. In the meantime, we recognize that there is an urgent need for therapeutics to treat patients & save lives""-@DrTedros #COVID19 #coronavirus"
55,2020-03-27 16:20:49+00:00,"""To support our call on all countries to conduct aggressive case-finding and testing, we’re also working urgently to massively increase the production and capacity for testing around the world""-@DrTedros #COVID19 #coronavirus"
56,2020-03-27 16:20:31+00:00,"""When #healthworkers are at risk, we’re all at risk. Health workers in low- &amp; middle-income countries deserve the same protection as those in the wealthiest countries""-@DrTedros #COVID19 #coronavirus"
57,2020-03-27 16:20:18+00:00,"""WHO has shipped almost 2M individual items of protective gear to 74 countries that need it most & we’re preparing to send a similar amount to a further 60 countries. But much more is needed. This problem can only be solved with intl cooperation & solidarity. ""-@DrTedros #COVID19"
58,2020-03-27 16:19:50+00:00,"""Countries also expressed several common challenges. The chronic global shortage of personal protective equipment is now one of the most urgent threats to our collective ability to save lives""-@DrTedros #COVID19 #coronavirus"
59,2020-03-27 16:19:35+00:00,"""Several common themes emerged about what has worked: -The need for early detection & isolation of confirmed cases -Identification, follow-up & quarantine of contacts -The need to optimize care -The need to communicate to build trust & engage communities in the fight""-@DrTedros"
60,2020-03-27 16:19:08+00:00,"""Earlier today, we held a briefing with around 50 Ministers of Health from around the world at which &amp; shared their experiences and the lessons they have learned""-@DrTedros #COVID19 #coronavirus"
61,2020-03-27 16:18:50+00:00,"""This is especially important for countries who are not part of the @g20org but will be affected by decisions made by G20 countries""-@DrTedros #COVID19"
62,2020-03-27 16:18:38+00:00,"""Viral outbreaks are a fact of life. How much damage they do is something we can influence. I thank the @g20org countries for their commitment to fight the #COVID19 pandemic, safeguard the economy, address intl. trade disruptions &amp; enhance global cooperation""-@DrTedros"
63,2020-03-27 16:18:03+00:00,"""And ignite the industrial might and innovation of the @g20org to produce and distribute the tools needed to save lives. We must also make a promise to future generations: never again""-@DrTedros #COVID19 #coronavirus"
64,2020-03-27 16:17:49+00:00,"""Fight to stop the #coronavirus with every resource at our disposal; Unite to confront the #COVID19 pandemic together. We are one humanity, with one, common enemy. No country can fight alone; we can only fight together""-@DrTedros"
65,2020-03-27 16:17:29+00:00,"""Yesterday, I had the honour of addressing an extraordinary meeting of leaders from the @g20org countries. My message was threefold: we must fight, unite &amp; ignite""-@DrTedros #COVID19"
66,2020-03-27 16:17:16+00:00,"""There are now more than 1/2 a million confirmed cases of #COVID19 &amp; more than 20,000 deaths. These are tragic numbers, but let's also remember that around the , there are hundreds of thousands of survivors""-@DrTedros #coronavirus"
67,2020-03-27 16:14:04+00:00,Media briefing on #COVID19 with @DrTedros. #coronavirus
68,2020-03-27 10:53:37+00:00,Preparation & knowledge is to beating the #coronavirus. Learn about coronaviruses &amp; emergency response with #OpenWHO courses: -Intro to #COVID19 -Health &amp; safety -Infection prevention &amp; control -Clinical care -Country capacitation -Treatment facilities https://bit.ly/3bvlPAO
69,2020-03-27 09:19:43+00:00,"Join #OpenWHO: the free, open-access learning platform for health emergencies. Learn from public health experts about topics including #covid19, risk communication, #ebola, infection prevention &amp; much more. Almost 1 million enrollments, join us today: https://bit.ly/3bvlPAO"
70,2020-03-26 22:59:29+00:00,Older people & people with pre-existing conditions are more susceptible to #COVID19. They should: Keep distance from people who are sick Wash often with soap &amp; water Quit /Quit drinking alcohol Protect mental health More info http://bit.ly/33JFVo0 #coronavirus
71,2020-03-26 22:23:43+00:00,Maintaining a healthy lifestyle is vital especially during #COVID19 outbreak. This includes: Eating healthy diets Staying physically active Quitting smoking Avoiding alcohol consumption Getting enough sleep http://bit.ly/33JFVo0 #coronavirus
72,2020-03-26 20:43:40+00:00,"Smoking damages your lungs and other parts of your body, and it makes you more vulnerable to #COVID19 infection. It is the right time to quit smoking for a safer and better health http://bit.ly/33JFVo0 #coronavirus"
73,2020-03-26 20:07:12+00:00,Using tobacco products can increase your chance of getting #COVID19 Bringing your to your can transfer the virus into your body Sharing tobacco products can transmit the virus btw. people Tobacco weakens your respiratory system making you more vulnerable to the virus
74,2020-03-26 19:22:40+00:00,"To stay safe during #COVID19 outbreak, here are tips for people affected by NCDs: Take your medicine &amp; follow medical advice Secure 1 month+ supply of medication Keep distance from sick people Wash often or quit drinking Protect mental health #coronavirus"
75,2020-03-26 18:37:57+00:00,"You may catch #COVID19 and be at risk of becoming severely ill, if you've a noncommunicable disease/a pre-existing condition such as: Cardiovascular disease Chronic respiratory disease Diabetes Cancer Follow the advice from WHO http://bit.ly/33JFVo0 #coronavirus"
76,2020-03-26 17:10:16+00:00,The full address by @DrTedros at the @g20org Summit on #COVID19 https://bit.ly/3dx7NQU #coronavirus
77,2020-03-26 17:09:30+00:00,".@g20org tasked WHO &amp; other relevant orgs with assessing gaps in pandemic preparedness &amp; report the findings of this assessment to the G20 Finance &amp; Health Ministers, in order to establish a global initiative on pandemic preparedness &amp; response together."
78,2020-03-26 17:09:12+00:00,".@g20org pledged to work together to increase research and development funding for #COVID19 vaccines and medicines, strengthen international scientific cooperation, and leverage digital technologies. https://bit.ly/2QPcSdz"
79,2020-03-26 17:08:52+00:00,The @g20org committed to support &amp; further strengthen WHO’s mandate in coordinating the #COVID19 response &amp; called for full funding of WHO‘s Strategic Preparedness and Response Plan https://bit.ly/2QPcSdz
80,2020-03-26 17:08:30+00:00,.@DrTedros welcomed @g20org commitment “to do whatever it takes to overcome the #COVID19 pandemic”: -protect lives &amp; livelihoods -restore confidence &amp; shore up stability currently threatened in trade &amp; other sectors -take all necessary health measures -ensure adequate financing
81,2020-03-26 17:06:15+00:00,""" ignite. Repurpose the industrial might of your nations for this effort: -Ignite production for the tools we need to save lives now -Ignite innovation for vaccines &amp; therapeutics -Ignite a movement to ensure this never happens again""-@DrTedros at @g20org Summit #COVID19"
82,2020-03-26 17:06:15+00:00,""" unite. No country can solve this crisis alone. That means a paradigm shift in global solidarity – in sharing experiences, expertise &amp; resources &amp; in working together to keep supply lines open &amp; supporting nations who need our support""-@DrTedros at @g20org Summit on #COVID19"
83,2020-03-26 17:06:15+00:00,"""Today, I have requests for our esteemed leaders: fight. Fight hard. Fight like hell. Fight like your lives depend on it – because they do. The best &amp; only way to protect life, livelihoods &amp; economies is to stop the #coronavirus""-@DrTedros at @g20org Summit on #COVID19"
84,2020-03-26 17:05:38+00:00,"""The full social, economic and political fallout, only time will tell. But we know that the price we end up paying depends on the choices we make now. This is a global crisis that demands a global response""-@DrTedros at @g20org Summit on #COVID19 #coronavirus"
85,2020-03-26 17:03:03+00:00,"""The #COVID19 pandemic is accelerating at an exponential rate. The first 100,000 cases took 67 days. The second 100,000 took 11 days. The third 100,000 took just 4 days. The fourth 100,000 just 2 days. Without aggressive action in all countries, millions could die""-@DrTedros"
86,2020-03-26 17:02:33+00:00,"""We come together to confront the defining health crisis of our time. We are at war with a virus that threatens to tear us apart – if we let it. Almost 0.5 million people have already been infected & more than 20,000 have lost their lives""-@DrTedros at @g20org Summit on #COVID19"
87,2020-03-26 16:57:45+00:00,".@DrTedros calls on @g20org to Fight, Unite, and Ignite against #COVID19 https://bit.ly/2QPcSdz #coronavirus"
88,2020-03-26 12:57:13+00:00,"During the coming weeks, critically-acclaimed professional artists from the film and music industries will review the films and recommend winners to @DrTedros. Four winners will be announced in May. Find out more at https://bit.ly/2JdGBZy #Film4Health"
89,2020-03-26 12:13:36+00:00,"WHO thanks Richard Curtis, Wagner Moura, @angeliquekidjo, @rickykej, Patrick Eveno and Barbara Miller for agreeing to serve on the #HealthForAll Film Festival jury. Find out more at https://bit.ly/2JdGBZy #Film4Health"
90,2020-03-26 10:31:46+00:00,"In celebration of the Year of the Nurse and the Midwife, we created a category in our #HealthForAll Film Festival to showcase the many ways in which nurses &amp; midwives play a critical role in helping us stay healthy. Check out our selection https://bit.ly/2wyIMUL #Film4Health"
91,2020-03-26 09:36:19+00:00,Animation can be a powerful means of helping us to understand health issues. Here is our shortlist of categories in this category https://bit.ly/2wyIMUL #HealthForAll
92,2020-03-26 08:50:19+00:00,"Films shortlisted in the video reports category of our #HealthForAll Film Festival cover topics such as mental health, noncommunicable diseases, reproductive health, air pollution and others. Find out more https://bit.ly/2wyIMUL #Film4Health"
93,2020-03-26 08:00:48+00:00,"WHO’s inaugural #HealthForAll Film Festival received nearly 1300 submissions from more than 110 countries, on a wide range of health topics. Check out our official selection to be considered by a distinguished jury https://bit.ly/2wyIMUL #Film4Health"
94,2020-03-25 18:14:52+00:00,The full briefing on #COVID19 by @DrTedros 
95,2020-03-25 18:07:00+00:00,"""In these difficult times, film & other media are a powerful way not only of communicating important health messages, but of administering one of the most powerful medicines – hope""-@DrTedros #COVID19 #Film4Health"
96,2020-03-25 18:06:46+00:00,"""We will be showing all the short-listed films in the coming weeks on our website and social media channels""-@DrTedros #Film4Health"
97,2020-03-25 18:05:50+00:00,"""We received 1,300+ entries from 110 countries & today we are announcing a short list of 45 excellent short films about vital health topics. We're also announcing a distinguished panel of jurors who will judge the short list, with the winners to be announced in May""-@DrTedros"
98,2020-03-25 18:04:43+00:00,"""The #COVID19 pandemic has highlighted the need for compelling &amp; creative communications about public health. Last year, WHO announced our first #HealthForAll Film Festival. The volume, quality and diversity of entries far surpassed our expectations""-@DrTedros"
99,2020-03-25 18:03:59+00:00,"""Physical distance doesn’t mean social distance. We all need to check in regularly on older parents, neighbors, friends or relatives who live alone or in care homes in whatever way is possible, so they know how much they are loved and valued""-@DrTedros #COVID19 #coronavirus"
100,2020-03-25 18:03:30+00:00,"""We need to work together to protect older people from the #coronavirus, and to ensure their needs are being met – for food, fuel, prescription medication and human interaction""-@DrTedros #COVID19"
101,2020-03-25 18:02:10+00:00,"""They [older people] are at higher risk of the more serious complications of #COVID19. We are listening to older people and those who work with and for them, to identify how best we can support them""-@DrTedros #coronavirus"
102,2020-03-25 18:01:36+00:00,"""Although we are especially concerned about vulnerable countries, all countries have vulnerable populations, incl. older people. Older people carry the collective wisdom of our societies. They are valued & valuable members of our families and communities""-@DrTedros #COVID19"
103,2020-03-25 18:00:56+00:00,"""We’re grateful to the over 200K individuals & orgs who have contributed to the #COVID19 Solidarity Response Fund. Since we launched it less than 2 weeks ago, the fund has raised over USD 95M. I offer my deep thanks to @GSK for its generous contribution of USD 10M""-@DrTedros"
104,2020-03-25 17:59:33+00:00,"""We also welcome the Secretary-General’s call for a global ceasefire. We are all facing a common threat, and the only way to defeat it is by coming together as one humanity""-@DrTedros #COVID19 #coronavirus"
105,2020-03-25 17:59:15+00:00,"""This [#COVID19] is much more than a health crisis, and we’re committed to working as one @UN to protect the world’s most vulnerable people from the virus, and its consequences""-@DrTedros #coronavirus"
106,2020-03-25 17:58:57+00:00,"""Together with our partners in the @UN, today we've launched the Global Humanitarian appeal, to support the most fragile countries who have already suffered years of acute humanitarian crises""-@DrTedros #COVID19"
107,2020-03-25 17:58:29+00:00,"""This is especially relevant for many vulnerable countries whose health systems may collapse under the weight of the numbers of patients we've seen in some countries with community transmission""-@DrTedros #COVID19 #coronavirus"
108,2020-03-25 17:58:06+00:00,"""More than 150 countries & territories still have fewer than 100 cases. By taking the same aggressive actions now, these countries have the chance to prevent community transmission & avoid some of the more severe social & economic costs seen in other countries""-@DrTedros #COVID19"
109,2020-03-25 17:57:29+00:00,"""Aggressive measures to find, isolate, test, treat and trace are not only the best and fastest way out of extreme social and economic restrictions – they’re also the best way to prevent them""-@DrTedros #COVID19 #coronavirus"
110,2020-03-25 17:57:07+00:00,"""These measures are the best way to suppress & stop transmission, so that when restrictions are lifted, the #coronavirus doesn’t resurge. The last thing any country needs is to open schools &amp; businesses, only to be forced to close them again because of a resurgence""-@DrTedros"
111,2020-03-25 17:56:16+00:00,"""... -Identify, adapt and equip facilities you will use to treat & isolate patients -Develop a clear plan & process to quarantine contacts -Refocus the whole of government on suppressing & controlling #COVID19""-@DrTedros #coronavirus"
112,2020-03-25 17:56:16+00:00,"""You have created a 2nd window of opportunity. How will you use it? -Expand, train & deploy your health care & public health workforce -Implement a system to find every suspected case at community level -Ramp up the production, capacity & availability of testing""-@DrTedros"
113,2020-03-25 17:54:08+00:00,"""The point of these actions is to enable the more precise and targeted measures that are needed to stop transmission and save lives. We call on all countries who have introduced so-called “lockdown” measures to use this time to attack the #coronavirus""-@DrTedros #COVID19"
114,2020-03-25 17:53:55+00:00,"""Asking people to stay at home and shutting down population movement is buying time and reducing the pressure on health systems. But on their own, these measures will not extinguish epidemics""-@DrTedros #COVID19 #coronavirus"
115,2020-03-25 17:53:27+00:00,"""We understand that these countries are now trying to assess when and how they will be able to ease these measures. The answer depends on what countries do while these population-wide measures are in place""-@DrTedros #COVID19 #coronavirus"
116,2020-03-25 17:53:09+00:00,"""To slow the spread of #COVID19, many countries have introduced unprecedented measures, at significant social and economic cost – closing schools and businesses, cancelling sporting events and asking people to stay home and stay safe""-@DrTedros #COVID19 #coronavirus"
117,2020-03-25 17:52:40+00:00,"""Already we have lost more than 16,000 lives. We know we will lose more – how many more will be determined by the decisions we make and the actions we take""-@DrTedros #COVID19 #coronavirus"
118,2020-03-25 17:52:24+00:00,"""We have overcome many pandemics and crises before. We will overcome this one too. The question is how large a price we will pay""-@DrTedros #COVID19 #coronavirus"
119,2020-03-25 17:52:07+00:00,"""I thank PM @AbeShinzo &amp; the members of the @Olympics for making this sacrifice to protect the health of athletes, spectators &amp; officials. We look forward to next year's Olympics &amp; Paralympics, which we hope will be a bigger &amp; better celebration of our shared humanity""-@DrTedros"
120,2020-03-25 17:51:43+00:00,"""The #COVID19 pandemic continues to take a massive toll not just on health, but on so many parts of life. Yesterday, the Government of &amp; the Intl. @Olympics Committee took a difficult but wise decision to postpone @Tokyo2020 Games""-@DrTedros #coronavirus"
121,2020-03-25 17:48:26+00:00,Media briefing on #COVID19 with @DrTedros. #coronavirus
122,2020-03-25 14:32:18+00:00,"""History will judge us on how we responded to the poorest communities in their darkest hour. Let’s act together, right now!""-@DrTedros #COVID19 #coronavirus"
123,2020-03-25 14:32:02+00:00,"""Our message to all countries is clear: heed this warning now, back this plan politically & financially today & we can save lives & slow the spread of the #COVID19 pandemic""-@DrTedros #coronavirus"
124,2020-03-25 14:31:18+00:00,""" we need to protect the health and humanitarian supply chain so that our frontline workers are protected and able to travel freely as they give lifesaving care""-@DrTedros #COVID19 #coronavirus"
125,2020-03-25 14:30:53+00:00,""" we’re building the ship as we sail and it’s critical that we continue to share learnings and innovations so that we can improve surveillance, prevention, and treatment. And ensure equitable access for the poorest to all R&amp;D breakthroughs""-@DrTedros #COVID19 #coronavirus"
126,2020-03-25 14:28:56+00:00,""" slow, suppress &amp; stop transmission to reduce the burden on health facilities. This means safe #handwashing; testing, isolating cases &amp; contact tracing, encouraging community-level physical distancing &amp; the suspension of mass gatherings and international travel""-@DrTedros"
127,2020-03-25 14:28:05+00:00,""" prioritize treatment for those at highest risk of severe illness""-@DrTedros #COVID19 #coronavirus"
128,2020-03-25 14:27:38+00:00,""" ramp up surveillance and lab testing so that those with the virus can be identified quickly and isolated safely – helping to break the chains of transmission""-@DrTedros #COVID19 #coronavirus"
129,2020-03-25 14:27:11+00:00,""" the public must be effectively prepared for the critical measures that are needed to help suppress the spread and protect vulnerable groups, like the elderly and those with underlying health conditions""-@DrTedros #COVID19 #coronavirus"
130,2020-03-25 14:26:41+00:00,"""The new Global Humanitarian Response Plan builds on that effort and sets a six-point action plan for how to prepare and respond to this #COVID19 emergency""-@DrTedros #coronavirus"
131,2020-03-25 14:25:55+00:00,"""We’ve worked with business leaders to ensure supply chains are working and bottlenecks are overcome""-@DrTedros #COVID19 #coronavirus"
132,2020-03-25 14:25:32+00:00,"""We’ve brought scientists together to boost funding in the R&D of diagnostics, treatments & a future vaccine. We’ve communicated online, via the media & in person with many world leaders, to ensure that preparations are accelerated & populations are sensitized""-@DrTedros"
133,2020-03-25 14:25:00+00:00,"""I implore leaders to stand together and heed this appeal. Since the #COVID19 outbreak was identified, WHO and our partners have been ramping up surveillance and lab testing across low- and middle-income countries""-@DrTedros #coronavirus"
134,2020-03-25 14:24:31+00:00,"""Despite their resilience they do need our help today and this new plan lays out what has to happen right now, in order to save lives and slow the spread of the #coronavirus""-@DrTedros #COVID19"
135,2020-03-25 14:24:04+00:00,"""People and communities that are already uprooted due to conflict, displacement, the climate crisis or other disease outbreaks are the ones we must urgently prioritize""-@DrTedros #COVID19 #coronavirus"
136,2020-03-25 14:23:39+00:00,"""As you know, the pandemic has accelerated over the last two weeks and while #COVID19 is a threat to people everywhere, what’s most worrying is the danger the virus poses to people already affected by crisis""-@DrTedros #coronavirus"
137,2020-03-25 14:23:15+00:00,"""I am pleased to join colleagues at this critical moment in the fight against the #coronavirus pandemic. I want to begin by reiterating the Secretary-General’s comments that now is the time for solidarity in the face of this threat to all of humanity""-@DrTedros #COVID19"
138,2020-03-25 14:00:39+00:00,LIVE NOW: Launch of the #COVID19 Global Humanitarian Response Plan with @DrTedros. #coronavirus
139,2020-03-25 12:02:12+00:00,"Looking after yourself, your family & friends is important through these stressful times. WHO encourages everyone at home to do simple & fun physical activities to stay healthy & active #COVID19 #coronavirus #BeActive"
140,2020-03-25 11:16:41+00:00,"Being active every day is good for your body, mind and spirit especially during #COVID19 outbreak. And more activities you do can improve your sleep which is also important for good health #coronavirus #BeActive #HealthyAtHome"
