0,1
2020-06-08 15:30:43+00:00,"""As much as possible, keep at least 1 metre from others, clean your hands, cover your cough and wear a mask if you attend a protest. We remind all people to stay home if you are sick and contact a health care provider""-@DrTedros #COVID19"
2020-06-08 15:30:22+00:00,"""WHO fully supports equality and the global movement against racism. We reject discrimination of all kinds. We encourage all those protesting around the world to do so safely""-@DrTedros"
2020-06-08 15:30:03+00:00,"""We continue to urge active surveillance to ensure the virus does not rebound, especially as mass gatherings of all kinds are starting to resume in some countries""-@DrTedros #COVID19"
2020-06-08 15:29:41+00:00,"""In these countries, the biggest threat now is complacency. Results from studies to see how much of the population has been exposed to the virus show that most people globally are still susceptible to infection""-@DrTedros #COVID19"
2020-06-08 15:29:18+00:00,"""We also see increasing numbers of #COVID19 cases in parts of Eastern Europe and central Asia. At the same time, we’re encouraged that several countries around the world are seeing very positive signs""-@DrTedros"
2020-06-08 15:28:50+00:00,"""Most countries in the African region are still experiencing an increase in the number of #COVID19 cases, with some reporting cases in new geographic areas, although most countries in the region have less than 1000 cases""-@DrTedros"
2020-06-08 15:28:28+00:00,"""More than 100,000 #COVID19 cases have been reported on 9 of the past 10 days. Yesterday, more than 136,000 cases were reported, the most in a single day so far. Almost 75% of yesterday’s cases come from 10 countries, mostly in the Americas and South Asia""-@DrTedros"
2020-06-08 15:27:56+00:00,"""Almost 7 million cases of #COVID19 have now been reported to WHO, and almost 400,000 deaths. Although the situation in Europe is improving, globally it is worsening""-@DrTedros"
2020-06-08 15:27:31+00:00,"""We want to thank those who have continued to ensure that people can access safe food throughout the #COVID19 pandemic. WHO is proud to work with the @FAO in ensuring all people have access to safe, nutritious food for healthy living""-@DrTedros #FoodSafety"
2020-06-08 15:25:57+00:00,"""Yesterday marked #WorldFoodSafetyDay. #FoodSafety is everyone’s business, every day. In times of crisis, it’s more important than ever""-@DrTedros"
2020-06-08 15:24:18+00:00,Media briefing on #COVID19 with @DrTedros
2020-06-08 14:13:16+00:00,#كوفيد-19 قد غيّر بأشكال متعددة، فقرّبنا كثيراً من بعضنا البعض وأكّد أهمية مبدأ #الصحة_للجميع. لا يفوتك هذا الفيديو الذي يعرض اللحظات المفصلية حتى الآن في عمل المنظمة مع شركائها حول العالم لمكافحة الجائحة وإنقاذ الأرواح.
2020-06-08 12:49:21+00:00,"Make your own avatar using @Genies &amp; support WHO’s #StaySafe initiative with personalized stickers you can use on messaging &amp; social media! To make your Genie, simply download the Genies app from App Store and Android #COVID19 #coronavirus"
2020-06-08 12:20:26+00:00,"Latest snapshot of WHO's activities & work with partners in the #COVID19 response, covering: Support to countries to prepare &amp; respond Acceleration of research &amp; development Coordination https://bit.ly/2UmaLj0 #WHOImpact"
2020-06-08 11:49:50+00:00,Share the “Do the Five to stop the spread of #coronavirus” filter and stickers with your friends on @Snapchat ! And subscribe to WHO on Snapchat https://snapchat.com/add/who #COVID19
2020-06-08 11:19:18+00:00,Say “Thank you!” with WHO-Viber Medical Superheroes sticker pack to show your appreciation for #HealthWorkers who are working around the clock in time of #COVID19! http://vb.me/e120c9 #coronavirus
2020-06-08 10:37:11+00:00,"WHO lead expert on infection prevention and control, @allegranzib, is answering your questions on the who, when and how of mask use during #COVID19 #AskWHO"
2020-06-08 10:33:53+00:00,Stay connected with your loved ones during #COVID19: Send air high five &amp; celebrate our medical heroes using WHO-@WhatsApp 'Together At Home' sticker pack! #coronavirus
2020-06-08 10:20:12+00:00,Live Q&A on the use of masks during #COVID19! #AskWHO
2020-06-08 09:41:33+00:00, Get latest &amp; accurate information about #COVID19 with WHO Viber interactive chatbot. Available in multiple languages http://bit.ly/2R3QgGf #coronavirus
2020-06-08 09:12:52+00:00,WHO Health Alert on #COVID19 is also on Messenger http://messenger.com/t/WHO Stay informed and get accurate information about #Coronavirus!
2020-06-08 08:43:36+00:00,Stay informed on the latest information about #COVID19 from trusted sources. Try WHO WhatsApp service http://bit.ly/who-covid19-whatsapp Start by typing ‘hi’. #coronavirus
2020-06-07 18:58:08+00:00,"#FoodSafety = Everyone's business! It's a shared responsibility between governments, producers &amp; consumers. Everybody has a role to play to ensure the food we consume is safe and will not cause damages to our health. Happy #WorldFoodSafetyDay!"
2020-06-07 16:48:53+00:00,"Foodborne illnesses are usually infectious or toxic in nature and caused by bacteria, viruses, parasites or chemical substances entering the body through contaminated food or water. Take action to ensure #FoodSafety. https://bit.ly/SafeFood2020"
2020-06-07 16:25:36+00:00,What precautions should one take when shopping for food during #COVID19? Ensure your hands are clean Keep physical distance (at least 1m) #FoodSafety https://bit.ly/SafeFood2020
2020-06-07 15:50:40+00:00,Access to sufficient amounts of safe & nutritious food is key to sustaining life and promoting good health. Teach your children early about how to handle &amp; prepare food safely. #FoodSafety https://bit.ly/SafeFood2020
2020-06-07 15:05:11+00:00,"The value of trade in food is US$1.6 trillion, approx. 10% of total annual trade globally. Recent estimates indicate that the impact of unsafe food costs low- & middle-income economies around US$95 billion in lost productivity each year. https://bit.ly/SafeFood2020"
2020-06-07 13:35:35+00:00,"DYK An estimated 600M - almost 1 in 10 people in the world - fall ill after eating contaminated food and 420,000 die every year Children under 5 carry 40% of the foodborne disease burden, with 125,000 deaths every year More facts in pictures: https://bit.ly/2U7JRM0"
2020-06-07 12:16:43+00:00,"During crises, access to safe & healthy food is more at risk. While food is not known to transmit #COVID19, we can ensure #FoodSafety by following the tips below. Q&amp;A on COVID-19 &amp; food businesses https://bit.ly/3dBUPAQ"
2020-06-07 11:54:51+00:00,"Unsafe food containing harmful bacteria, viruses, parasites or chemical substances can cause 200+ diseases! Vendors at markets/restaurants should also practise the WHO 5 Keys to Safer Food. https://bit.ly/SafeFood2020"
2020-06-07 11:35:10+00:00,You can ensure #FoodSafety at home by practising the @WHO 5 Keys to Safer Food: Keep clean Separate raw &amp; cooked Cook thoroughly Keep food at safe Use safe water &amp; raw materials https://bit.ly/SafeFood2020
2020-06-07 09:40:17+00:00,"All players from farm to fork, we invite you to join WHO/@FAO &amp; take action to: -Ensure it’s safe Governments -Grow it safe Agriculture &amp; food producers -Keep it safe Business operators -Eat it safe Consumers -Team up for #FoodSafety All https://bit.ly/SafeFood2020"
2020-06-07 09:03:46+00:00,"#COVID19 put a spotlight on the role of online learning to respond to health emergencies. Find out how #OpenWHO, WHO’s free platform is identifying, transforming, translating &amp; transferring knowledge to be accessible for all during the #pandemic: https://bit.ly/2ByRBjr"
2020-06-07 08:30:55+00:00,"Happy #WorldFoodSafetyDay! #FoodSafety is everyone's business. Whether you grow, process, transport, store, distribute, sell, prepare, serve or consume food, you have a role to play in keeping it safe. https://bit.ly/SafeFood2020"
2020-06-06 10:23:46+00:00,People should make informed and wise food choices and adopt adequate behaviors. They should know common food hazards and how to handle #FoodSafety. http://bit.ly/2U7JRM0
2020-06-06 08:34:50+00:00,"Achieving #FoodSafety requires expertise from various disciplines: toxicology, microbiology, parasitology, nutrition, health economics, human &amp; veterinary medicine. Local communities, women’s groups &amp; school education also play an important role. #FoodSafety"
2020-06-06 08:03:59+00:00,Overuse & misuse of antimicrobials in agriculture & animal husbandry is one of the factors leading to the emergence & spread of #antimicrobialresistance. Antimicrobial-resistant bacteria in animals may be transmitted to humans via food. http://bit.ly/2U7JRM0 #FoodSafety
2020-06-06 07:40:53+00:00,"Food contamination has far reaching effects beyond direct public health consequences – it undermines food exports, tourism, livelihoods of food handlers and economic development, both in developed and developing countries. http://bit.ly/2U7JRM0 #FoodSafety"
2020-06-06 07:01:40+00:00,"To improve #FoodSafety, different governmental departments and agencies, encompassing public health, agriculture, education and trade, need to collaborate and communicate with each other and engage with the civil society including consumer groups. http://bit.ly/2U7JRM0"
2020-06-05 19:20:36+00:00,WHO updated guidance on the use of masks for control of #COVID19: https://bit.ly/2AJYSMS The new guidance is based on evolving evidence and provides updates on: who should wear a mask when a mask should be worn what a mask should be made of
2020-06-05 15:34:28+00:00,The full remarks on #COVID19 by @DrTedros 
2020-06-05 15:30:42+00:00,"""WHO will continue to provide the world with advice based on the most up-to-date evidence, as part of our commitment to serving the world with science, solutions and solidarity""-@DrTedros #COVID19"
2020-06-05 15:30:30+00:00,"""The cornerstone of the response in every country must be to find, isolate, test and care for every case, and to trace and quarantine every contact. That is what we know works. That is every country’s best defense against #COVID19""-@DrTedros"
2020-06-05 15:30:07+00:00,"""I cannot say this clearly enough: masks alone will not protect you from #COVID19. Masks are not a replacement for physical distancing, hand hygiene and other public health measures. Masks are only of benefit as part of a comprehensive approach""-@DrTedros"
2020-06-05 15:29:44+00:00,"""Masks can also create a false sense of security, leading people to neglect measures such as hand hygiene and physical distancing""-@DrTedros #COVID19"
2020-06-05 15:29:19+00:00,"""Our guidance also explains how to use a mask safely. People can potentially infect themselves if they use contaminated hands to adjust a mask, or to repeatedly take it off and put it on, without cleaning hands in between""-@DrTedros #COVID19"
2020-06-05 15:28:54+00:00,"""Based on this new research, WHO advises that fabric masks should consist of at least three layers of different material. Details of which materials we recommend for each layer are in the guidelines. We also provide guidance on how to wash and maintain a fabric mask""-@DrTedros"
2020-06-05 15:28:30+00:00,"""Our updated guidance contains new information on the composition of fabric masks, based on academic research requested by WHO""-@DrTedros #COVID19"
2020-06-05 15:28:02+00:00,"""In light of evolving evidence, WHO advises that governments should encourage the general public to wear masks where there is widespread transmission & physical distancing is difficult, such as on public transport, in shops or in other confined or crowded environments""-@DrTedros"
2020-06-05 15:27:37+00:00,"""Third, WHO has also updated its guidance on the use of masks by the general public in areas with community transmission""-@DrTedros #COVID19"
2020-06-05 15:27:14+00:00,"""Second, in areas with community transmission, we advise that 𝗽𝗲𝗼𝗽𝗹𝗲 𝗮𝗴𝗲𝗱 60 𝘆𝗲𝗮𝗿𝘀 𝗼𝗿 𝗼𝘃𝗲𝗿, or those with underlying conditions, should wear a medical mask in situations where physical distancing is not possible""-@DrTedros #COVID19"
2020-06-05 15:25:17+00:00,"""That means, for example, that when a doctor is doing a ward round on the cardiology or palliative care units where there are no confirmed #COVID19 patients, they should still wear a medical mask""-@DrTedros"
2020-06-05 15:24:42+00:00,"""Here’s what’s new: In areas with widespread transmission, WHO advises medical masks for all people working in clinical areas of a health facility, not only workers dealing with patients with #COVID19""-@DrTedros"
2020-06-05 15:23:51+00:00,"""And WHO continues to advise that #healthworkers use medical masks and other protective equipment when dealing with suspected or confirmed #COVID19 patients""-@DrTedros"
2020-06-05 15:23:24+00:00,"""WHO continues to advise that people caring for an infected person at home should wear a medical mask while they are in the same room as the sick person""-@DrTedros #COVID19"
2020-06-05 15:22:41+00:00,"""Here’s what has not changed: People confirmed to have #COVID19 should be isolated &amp; cared for in a health facility &amp; their contacts should be quarantined. If it is absolutely necessary for a sick person or a contact to leave the house, they should wear a medical mask""-@DrTedros"
2020-06-05 15:22:00+00:00,"""Here’s what has not changed: WHO continues to recommend that people who are sick with symptoms of #COVID19 should remain at home, and should consult their health care provider""-@DrTedros"
2020-06-05 15:21:35+00:00,"""I wish to be very clear that the guidance we are publishing today is an update of what we have been saying for months: that masks should only ever be used as part of a comprehensive strategy. Masks on their own will not protect you from #COVID19""-@DrTedros"
2020-06-05 15:21:14+00:00,"""WHO has developed this [mask] guidance through a careful review of all available evidence, and extensive consultation with international experts and civil society groups""-@DrTedros #COVID19"
2020-06-05 15:20:50+00:00,"""Today WHO is publishing updated guidance on the use of masks for control of #COVID19. This guidance is based on evolving evidence, and provides updated advice on who should wear a mask, when it should be worn and what it should be made of""-@DrTedros"
2020-06-05 15:20:28+00:00,"""WHO looks forward to working with @gavi to make realise the power of vaccines for everyone, everywhere""-@DrTedros #VaccinesWork"
2020-06-05 15:20:13+00:00,"""I’d like to thank all donors who stepped up yesterday to fully fund @gavi for its next 5-year cycle. This is a vital investment in saving millions of lives from vaccine-preventable diseases""-@DrTedros #VaccinesWork"
2020-06-05 15:18:15+00:00,Media briefing on #COVID19 with @DrTedros
2020-06-05 14:08:18+00:00,Globalization of food production and trade is making the food chain longer and complicates foodborne disease outbreak investigation and product recall in case of emergency. http://bit.ly/2U7JRM0 #FoodSafety
2020-06-05 13:19:16+00:00,"Ahead of the #WorldFoodSafetyDay, WHO and @FAO experts are responding your questions about #FoodSafety. #AskWHO"
2020-06-05 13:12:48+00:00,"Join WHO/@FAO Q&amp;A on #FoodSafety, Ask your questions!"
2020-06-05 12:46:29+00:00,The food supply is complex and involves a range of different stages including: on-farm production slaughtering or harvesting processing storage transport distribution before the food reaches the consumers. https://bit.ly/2U7JRM0 #FoodSafety
2020-06-05 11:38:54+00:00,"The consequences of foodborne disease are usually more severe and may be fatal for infants, pregnant women, the sick and the elderly. https://bit.ly/2U7JRM0 #FoodSafety"
2020-06-05 11:10:57+00:00,"The most common symptoms of foodborne disease are stomach pains, vomiting & diarrhoea. Food contaminated with heavy metals or with naturally occurring toxins can also cause long-term health problems including cancer & neurological disorders. #FoodSafety"
2020-06-05 10:22:06+00:00,"DYK: 1 in 10 people fall ill every year from eating contaminated food and 420,000 die each year as a result. Children under-5 are at particularly high risk. 125,000 young children die from foodborne diseases every year. https://bit.ly/2U7JRM0 #FoodSafety"
2020-06-04 20:11:07+00:00,"Seasonal influenza, pertussis & tetanus can be deadly. Vaccinating pregnant women against these diseases is safe and helps protect #VaccinesWork for all"
2020-06-04 19:40:40+00:00,"Vaccines are safe! Any licensed vaccine undergoes many tests, involving thousands of healthy people for many years before it’s approved. Vaccines are continuously monitored to make sure they are safe and effective. #VaccinesWork"
2020-06-04 19:23:03+00:00,Q: When should I get vaccinated? A: Vaccines protect us throughout life. Don’t wait until you are exposed to a serious illness like during an outbreak. There may not be enough time to receive all the doses needed to keep you safe. #VaccinesWork
2020-06-04 18:41:17+00:00,You are far more likely to be seriously harmed by a vaccine-preventable disease than by a vaccine. Vaccine-preventable diseases can cause: Blindness Deafness Paralysis Brain damage Infertility Malnutrition Birth defects Death #VaccinesWork for all!
2020-06-04 18:13:00+00:00,"Vaccines are one of the best investments we can make in human health & potential. Thanks to the polio vaccine, the has seen a . % reduction in polio cases since 1988. #VaccinesWork"
2020-06-04 17:55:47+00:00,Nurses & midwives are vaccine champions for parents and parents-to-be. They are also trusted and credible sources of information about vaccines. #VaccinesWork #SupportNursesAndMidwives
2020-06-04 15:50:38+00:00,"The #GVS2020 also highlighted how important a safe, effective and equitably accessible vaccine will be in controlling #COVID19. #VaccinesWork"
2020-06-04 15:50:38+00:00,The backdrop of the #COVID19 pandemic is a sobering reminder of how much individual health depends on collective health and the critical role that vaccines play in keeping the global population safe and healthy. #VaccinesWork http://bit.ly/2ADEZam
2020-06-04 15:50:37+00:00,"The bold funding commitments mean that the @gavi Alliance will be better able to maintain immunization in lower-income countries, mitigating the impact of the #COVID19 pandemic. They will also help strengthen health systems. #GVS2020 #VaccinesWork http://bit.ly/2ADEZam"
2020-06-04 15:48:28+00:00,The new pledges will enable @gavi to protect the next generation and reduce disease inequality by reaching an additional 300 million children with vaccines by 2025. #GVS2020 #VaccinesWork https://bit.ly/2ADEZam
2020-06-04 15:47:50+00:00,"WHO welcomes funding commitments made at today’s #GVS2020, hosted virtually by the #UnitedKingdom government. The Summit is @gavi, the Vaccine Alliance’s third pledging conference and follows the successful Berlin summit in January 2015: https://bit.ly/2ADEZam"
2020-06-04 15:27:14+00:00,"During emergencies like #COVID19, risk of outbreaks like measles &amp; polio increases. #VaccinesWork to help keep us safe, keep us out of hospitals and protect our health workers. Make sure you &amp; your family are protected through vaccines."
2020-06-04 14:53:44+00:00,"As we respond to #COVID19, now more than ever, we must ensure the continuation of essential health services like immunization , to stop vaccine-preventable diseases like measles, polio &amp; meningitis. #VaccinesWork"
2020-06-04 14:15:38+00:00,"Millions of children around the will likely miss out on lifesaving due to #COVID19. To combat the resurgence of other deadly diseases, we must continue delivering vaccines where we can and immunization once this outbreak is under control. #VaccinesWork"
2020-06-04 13:40:10+00:00,"WHO Clinical Management Lead for Emergencies, @diazjv, is answering your questions about #COVID19 clinical care. #AskWHO "
2020-06-04 13:26:18+00:00,Q&A on #COVID19 clinical care. #AskWHO
2020-06-04 12:57:59+00:00,Vaccines are safe. The most common vaccines - like measles & tetanus - have been in use for decades. Millions of people receive vaccines safely every year. #VaccinesWork
2020-06-04 12:33:22+00:00,"""Now is the moment for the to come together in solidarity to realise the power of vaccines for everyone Now is the moment for all of us to fully fund @gavi to ensure it continues to prevent, protect and prosper""-@DrTedros #GVS2020 #VaccinesWork"
2020-06-04 12:33:22+00:00,"#Smallpox was not ended by a vaccine alone. There was one other key ingredient: solidarity""-@DrTedros #GVS2020 #VaccinesWork"
2020-06-04 12:33:21+00:00,"""#COVID19 is a devastating reminder that life is fragile &amp; that in our global village, our individual health depends on our collective health""-@DrTedros #GVS2020"
2020-06-04 12:33:21+00:00,"""The immunization infrastructure that the @gavi has helped build over the past 20 years will be essential for fulfilling that duty""-@DrTedros #GVS2020 #VaccinesWork"
2020-06-04 12:29:51+00:00,"""That’s why WHO and our partners have established the Access to #COVID19 Tools Accelerator and the COVID-19 Technology Access Pool. Our shared duty is to ensure that once a vaccine is available, it is available to everyone""-@DrTedros #GVS2020"
2020-06-04 12:29:00+00:00,"""A vaccine will be essential for controlling #COVID19. But vaccines only realise their true power when they are deployed to protect the poorest and most vulnerable""-@DrTedros #GVS2020"
2020-06-04 12:27:44+00:00,"""The #COVID19 pandemic is unraveling many of the gains we have made. Vaccination campaigns for polio, cholera, measles, meningitis and HPV have been disrupted, putting hundreds of millions of people at risk""-@DrTedros #GVS2020"
2020-06-04 12:26:31+00:00,"""Thanks to vaccines, hundreds of millions of deaths have been prevented. Polio has been pushed to the brink of eradication, and just in the past few years new vaccines have become available for Ebola and malaria""-@DrTedros #GVS2020 #VaccinesWork"
2020-06-04 12:25:36+00:00,"""This towering public health achievement was only possible because of the world’s first vaccine, developed by Edward Jenner in 1796. Dr Jenner gave birth to one of the most powerful tools in the history of medicine""-@DrTedros #VaccinesWork #GVS2020"
2020-06-04 12:24:00+00:00,"""This year marks 40 years since #smallpox became the first – and to date the only – human disease to be eradicated""-@DrTedros #GVS2020 #VaccinesWork"
2020-06-04 12:22:45+00:00,"""Thank you for the opportunity to speak today, and I’d especially like to thank the #UnitedKingdom for hosting #GVS2020, and Prime Minister @BorisJohnson for his leadership in this vital area of public health""-@DrTedros #VaccinesWork"
2020-06-04 11:56:16+00:00,"Q: What’s in a vaccine? A: All ingredients in a vaccine help ensure they are safe & effective. Vaccine ingredients can look unfamiliar on a label, but they occur naturally in the human body, the natural environment and the food we eat. #VaccinesWork"
2020-06-04 11:16:13+00:00,"Vaccines protect us against harmful diseases like polio & measles, by: Using our body’s natural defenses to protect against infections Training our immune system to create antibodies This prevents us from getting sick. http://bit.ly/2Ya4NEZ #VaccinesWork"
2020-06-04 10:49:01+00:00,"Immunization is a shared responsibility. If only some people are vaccinated, diseases can still spread, especially to those at highest risk: Infants who are too young to receive vaccines Older adults at risk of serious diseases People with low immunity #VaccinesWork"
2020-06-04 10:19:24+00:00,"#COVID19 is confronting families globally with the deadly &amp; devastating impacts of disease outbreaks. In the midst of this crisis, we must also work to ensure all people are protected against diseases for which we have vaccines to prevent. #VaccinesWork"
2020-06-04 09:48:40+00:00,"Nurses & midwives - every check-up is an opportunity to check in on vaccination for people of all ages: children, youth, adults and older people. #VaccinesWork #SupportNursesAndMidwives"
2020-06-04 09:20:06+00:00,Vaccines: reduce child deaths and disease protect against outbreaks prevent malnutrition defend against antimicrobial resistance #VaccinesWork for all!
2020-06-04 08:40:10+00:00,"Vaccine-preventable diseases include: Cervical cancer Cholera Diphtheria Ebola Hep B Influenza Japanese encephalitis Measles Meningitis Mumps Pertussis Pneumonia Polio Rabies Rotavirus Rubella Tetanus Typhoid Varicella Yellow Fever Yes, #VaccinesWork!"
2020-06-03 18:08:12+00:00,"For many, is more than a sport or hobby, it can allow you to: make a living commute socialize gain access to education support mental health &amp; much more. Let's make sure everyone can enjoy riding their bike! #WorldBicycleDay "
2020-06-03 17:46:40+00:00,"Lack of pedestrian crossings, sidewalks, & separate bike lanes, as well as excessive speed make cycling and walking risky. It is time to make walking &amp; cycling safe by prioritizing #RoadSafety in urban planning. http://bit.ly/2JTuHq0 #WorldBicycleDay "
2020-06-03 16:58:26+00:00,The full remarks by @DrTedros 
2020-06-03 16:10:05+00:00,"""WHO is committed to accelerating the development of effective therapeutics, vaccines and diagnostics as part of our commitment to serving the world with science, solutions and solidarity""-@DrTedros #COVID19"
2020-06-03 16:09:45+00:00,"""The Data Safety and Monitoring Committee will continue to closely monitor the safety of all therapeutics being tested in the Solidarity Trial. So far, more than 3500 patients have been recruited in 35 countries""-@DrTedros #COVID19"
2020-06-03 16:09:31+00:00,"""The Executive Group will communicate with the principal investigators in the trial about resuming the hydroxychloroquine arm of the trial""-@DrTedros #COVID19"
2020-06-03 16:08:43+00:00,"""The Executive Group received this recommendation and endorsed continuation of all arms of the Solidarity Trial, including hydroxychloroquine""-@DrTedros #COVID19"
2020-06-03 16:05:49+00:00,"""On the basis of the available mortality data, the members of the committee recommended that there are no reasons to modify the trial protocol""-@DrTedros #COVID19"
2020-06-03 16:05:14+00:00,"""This decision was taken as a precaution while the safety data were reviewed. The Data Safety and Monitoring Committee of the Solidarity Trial has been reviewing the data""-@DrTedros #COVID19"
2020-06-03 16:04:42+00:00,"""As you know, last week the Executive Group of the Solidarity Trial decided to implement a temporary pause of the hydroxychloroquine arm of the trial, because of concerns raised about the safety of the drug""-@DrTedros #COVID19"
2020-06-03 16:04:11+00:00,"""In the past week, we launched #COVID19 courses in Amharic, Arabic, French, Hausa, Macedonian, Odia, Spanish and Vietnamese""-@DrTedros"
2020-06-03 16:03:53+00:00,"""We have added two new courses: one on decontamination and sterilization of medical devices, and another on environmental cleaning and disinfection. In total, we now offer 12 courses in 27 languages""-@DrTedros #COVID19"
2020-06-03 16:03:19+00:00,"""WHO continues to train millions of #healthworkers all over the world to apply our guidance. Our http://OpenWHO.org online learning platform has now registered 3 million enrolments for our courses on #COVID19""-@DrTedros"
2020-06-03 16:02:47+00:00,"""It includes a #COVID19 care pathway, which describes the steps followed by a patient from screening to discharge, to ensure delivery of safe and quality care while stopping onward transmission""-@DrTedros"
2020-06-03 16:01:48+00:00,"""... And updated guidelines on the clinical management of patients with #COVID19. This is an update of the guidance we published in March""-@DrTedros"
2020-06-03 16:01:21+00:00,"""... Planning recommendations for mass gatherings; A protocol for surveillance of infections among health workers; Ethical considerations for the use of digital technologies in tracking #COVID19""-@DrTedros"
2020-06-03 16:00:59+00:00,"""Just in the past week, WHO has released a new case report form for suspected cases of multisystem inflammatory syndrome in children; Operational guidance on maintaining essential health services; Guidance on controlling the spread of #COVID19 at ground crossings""-@DrTedros"
2020-06-03 16:00:27+00:00,"""WHO continues to provide the world with new and updated technical guidance, based on the most up-to-date evidence""-@DrTedros #COVID19"
2020-06-03 16:00:09+00:00,"""WHO continues to work through our regional and country offices to monitor the #COVID19 pandemic, to support countries to respond and to adapt our guidance for every situation""-@DrTedros"
2020-06-03 15:59:52+00:00,"""Meanwhile, the number of #COVID19 cases in Europe continues to decline. Yesterday saw the fewest cases reported in Europe since the 22nd of March""-@DrTedros"
2020-06-03 15:59:18+00:00,"""We are especially worried about Central and South America, where many countries are witnessing accelerating epidemics. We also see increasing numbers of cases in the Eastern Mediterranean, South-East Asia and Africa, although the numbers are much smaller""-@DrTedros #COVID19"
