date,text,before_2020
2020-04-13 17:37:03+00:00,vaccines are one of our most important weapons in fighting this pandemic we are profoundly grateful for people s generosity in donating to cepi through the solidarity response fund ,After 2020
2020-04-07 15:24:06+00:00, there is still a long road ahead before we have a safe effective and globally accessible vaccine ready for broader use but today we have reached an important milestone on that journey  find out more in ,After 2020
2020-04-07 15:23:56+00:00, producing a covid vaccine within the next to months is not only a scientific challenge it will also require new levels of collaboration and investment across industry and government  ,After 2020
2020-03-30 09:06:01+00:00,last week launched solidarity a global trial to assess four of the most promising treatments ,After 2020
2020-03-21 16:08:41+00:00,we are working with and partners to prepare for an effective vaccine to be rapidly scaled up and accessible to everyone regardless of ability to pay ,After 2020
2020-03-18 15:42:46+00:00,the world has entered a new era of pandemic risk three years after our launch at were working quickly and in collaboration with our partners to respond to this new global threat ,After 2020
2020-03-16 19:16:32+00:00, and is testament to the rapid and effective collaboration among the global scientific community this is a terrific development but we are still a long way from a usable vaccine what is critical now is that we continue to address this as a global problem  ,After 2020
2020-02-02 10:50:26+00:00, if we want to contain this illness then it is good if we have a vaccine in a relatively short time on our new collaboration with in response to the outbreak ,After 2020
2020-01-31 11:09:09+00:00,as shared yesterday this is the time for facts not fear this is the time for science not rumours this is the time for solidarity not stigma  ,After 2020
2020-01-31 10:06:41+00:00,in view of the rapid spread of the novel coronavirus we have expanded our collaboration with to advance a vaccine candidate as quickly as possible see more ,After 2020
2020-01-27 17:22:34+00:00,we are working in collaboration with who is leading the development of a coordinated international response and many other partners to promote the development of new vaccines against ncov  ,After 2020
2019-12-31 20:18:01+00:00,finally we want to pay our thanks and appreciation to the incredibly brave diligent and dedicated work of frontline staff in affected countries the power of science and collaboration has been critical to combatting outbreaks this year with in country teams ,Before 2020
2019-12-30 10:27:22+00:00,we also partnered with the brighton collaboration to support the safety assessment of vaccine candidates against emerging infectious diseases ,Before 2020
2019-12-22 15:38:17+00:00,on ebola in the drc we can now treat those infected as well as prevent spread of the disease as a result of innovative collaborations that demonstrate how to help develop new and effective technologies ,Before 2020
2019-12-10 09:29:16+00:00,collaboration and synergy are essential to progress research around epidemic diseases like our final panel discussed their partnerships established across the world ,Before 2020
2019-12-10 01:08:42+00:00,weve kicked off day at sessions today explore transmission case management epidemiological needs for clinical trials progress and challenges in vaccines and therapeutics development collaboration and synergy ,Before 2020
2019-12-08 11:29:06+00:00,our conference with kicks off tomorrow the day event brings experts together to review outbreaks discuss the latest developments and foster greater collaboration attending share your photos and thoughts using ,Before 2020
2019-10-06 11:27:53+00:00,connecting across borders how information sharing and collaboration were critical in tracking the spread of lassa fever ,Before 2020
2019-07-25 05:21:54+00:00,were pleased to announce our latest collaboration w to develop a vaccine against virus in view of its epidemic potential the has highlighted chikungunya as a major public health risk find out more ,Before 2020
2019-07-17 08:48:11+00:00,we are delighted to announce our new collaboration with to develop a human vaccine against this potentially fatal virus is found across africa and is now emerging in the middle east find out more ,Before 2020
2019-06-11 07:30:44+00:00,weve partnered with the largest global organisation of vaccine safety experts the brighton collaboration to help assess the safety of our vaccine candidates undergoing clinical trials ,Before 2020
2019-06-01 10:46:39+00:00,we ve partnered with brighton collaboration to support safety assessment of vaccine candidates ,Before 2020
